#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
355862:8016,07/19/22 18:08:10,23,23,0.001397019,0.001193606
355863:8016,07/19/22 18:19:43,14,14,0.000834923,0.000732937
355865:8016,07/19/22 18:28:32,4,4,0.000178530,0.000172323
355872:8017,07/19/22 23:24:45,1093,1093,0.070439791,0.062330628
355892:8018,07/20/22 10:23:52,189,189,0.011462079,0.010968760
355912:8019,07/20/22 14:17:20,162,162,0.010282589,0.009224687
355913:8019,07/20/22 15:22:09,81,81,0.004871521,0.004519013
355921:8020,07/20/22 18:48:52,289,289,0.017722759,0.016427844
355933:8022,07/21/22 01:54:49,388,388,0.001701917,0.001345110
355942:8023,07/21/22 06:45:12,197,197,0.001669165,0.001565836
355988:8027,07/21/22 23:02:22,51,51,0.003991558,0.003187597
355989:8027,07/21/22 23:23:47,24,24,0.002278715,0.001268636
355996:8027,07/22/22 01:10:17,22,22,0.002037906,0.001722861
355997:8027,07/22/22 01:20:41,26,26,0.002367925,0.002135176
355998:8027,07/22/22 01:35:51,35,35,0.003080171,0.002653306
355999:8027,07/22/22 01:51:17,9,9,0.000775881,0.000647263
356001:8027,07/22/22 01:57:33,23,23,0.001986584,0.001820933
356002:8027,07/22/22 02:10:02,5,5,0.000419512,0.000353783
356003:8027,07/22/22 02:14:17,273,273,0.021499492,0.020962692
356004:8027,07/22/22 04:04:14,20,20,0.001492733,0.001370771
356005:8027,07/22/22 04:14:46,194,194,0.013057257,0.012564153
356043:8030,07/22/22 18:00:07,65,65,0.006805497,0.005568461
356046:8030,07/22/22 18:35:17,79,79,0.009756837,0.009421949
356047:8030,07/22/22 19:08:53,10,10,0.001234358,0.001041787
356048:8030,07/22/22 19:15:47,16,16,0.000474339,0.000351297
356071:8033,07/23/22 12:43:38,305,305,0.035774906,0.032837341
356073:8033,07/23/22 15:10:12,19,19,0.002239540,0.002121353
356074:8033,07/23/22 15:21:04,12,12,0.001452373,0.001287950
356075:8033,07/23/22 15:57:05,51,51,0.006186140,0.005504134
356076:8033,07/23/22 16:56:57,75,75,0.009174473,0.008479100
356077:8033,07/23/22 17:59:19,405,405,0.044871243,0.042942566
356135:8043,07/25/22 11:05:49,45,45,0.003830166,0.003386752
356162:8046,07/25/22 18:05:36,17,17,0.001911002,0.001846683
356163:8046,07/25/22 18:19:46,20,20,0.002265003,0.002135744
356164:8046,07/25/22 18:30:38,73,73,0.011441109,0.011369475
356165:8046,07/25/22 19:01:11,70,70,0.010910996,0.010823079
356170:8046,07/25/22 19:34:01,3,3,0.000453001,0.000291344
356174:8046,07/25/22 19:44:07,2,2,0.000297101,0.000268573
356309:8057,07/27/22 17:55:16,110,110,0.009798409,0.008987563
356316:8058,07/27/22 21:39:15,187,187,0.011613249,0.011342140
356321:8059,07/28/22 00:59:10,86,86,0.009945070,0.009153594
356322:8059,07/28/22 01:35:06,19,19,0.002274927,0.002060513
356323:8059,07/28/22 01:45:01,656,656,0.075959958,0.072203011
356371:8062,07/28/22 16:45:47,36,36,0.004001393,0.002971836
356375:8063,07/28/22 19:03:54,118,118,0.015980879,0.012527255
356378:8063,07/28/22 20:07:42,302,302,0.044295859,0.042213939
356381:8063,07/28/22 22:10:47,1145,1145,0.127592231,0.125741012
356383:8063,07/29/22 06:04:41,36,36,0.003170118,0.003031070
356384:8063,07/29/22 06:22:20,1,1,0.000087332,0.000010254
356385:8063,07/29/22 06:26:25,31,31,0.002732438,0.002491759
356386:8063,07/29/22 06:41:02,135,135,0.009339054,0.009184642
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#17,51,7251,7251,0.639417029,0.598764092
#Check JSON:
#(run,ls) in json but not in results: []
